level,source_id,route_family,comparison,primary_score,baseline_score,metric,K,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,50,0.3979591836734695,0.32352941176470584,0.47,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,50,0.3571428571428572,0.2699807692307693,0.4310540752351097,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,50,0.44897959183673475,0.37254380475594495,0.5156312003968254,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,50,0.41836734693877553,0.3181439393939395,0.5270457957957957,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,50,0.8775510204081634,0.7916666666666666,0.9519345238095239,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,50,0.010204081632653073,-0.05555555555555558,0.09090909090909094,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,50,-0.34102103041200843,-0.3542694250077203,-0.3275324165695053,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,50,-0.327222265655539,-0.3400811346348781,-0.3151361110797038,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,50,-0.3527480259557501,-0.3666962923572134,-0.3379876361692174,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,50,-0.3603314830740364,-0.37579551800663197,-0.3449846789437125,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,50,-0.712180439371433,-0.7418501278176055,-0.6835663403561736,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,50,0.008834336642952079,0.007127826971301658,0.0106072082713241,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,100,0.0,0.0,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,100,0.0714285714285714,0.009079153605015622,0.16304902395740897,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,100,0.05102040816326525,0.0,0.13888888888888884,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,100,0.10204081632653061,0.030303030303030276,0.19319098240469212,1000,548
